"Billing address","Endereço de Faturamento"
"Yes","Sim"
"No","Não"
"Select a billing address","Selecione um endereço de faturamento"
"Select a shipping address","Selecione um endereço de entrega"
"Buy without VAT (for EU only)","Comprar sem IVA (apenas para a UE)"
"Apply Coupon","Aplicar Cupom"
"Discount codes","Código de Desconto"
"Subtotal","Subtotal"
"Grand Total","Total do Pedido"
"Product Name","Nome do Produto"
"Price","Preço"
"Qty","Qtde"
"Remove item","Remover item"
"What is this?","O que é isso?"
"Card Verification Number","Número de verificação do cartão"
"Expiration Date","Data de Expiração"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Name on Card","Nome no Cartão"
"Expiration Date","Data de Expiração"
"Please select region, state or province","Por favor, selecione a região, estado ou província"
"--Please Select--","--Selecione--"
"LightCheckout Skin","LightCheckout Skin"
"Allow to change Qty","Permitir alteração de Qtde"
"Allow to Remove Item from Checkout","Deixar Remover Item do Checkout"
"Disable Cart","Desabilitar Carrinho"
"Enable Discount Codes","Habilitar Códigos de Desconto"
"Yes, checkbox is checked","Sim, caixa de seleção está marcada"
"Yes, checkbox is unchecked","Sim, caixa de seleção está desmarcada"
"Create an Account checkbox","Criar uma Conta caixa de seleção"
"Available Delivery Days","Dias de Entrega Disponíveis"
"Available Delivery from, hours","Entrega disponível a partir de, horas"
"Available Delivery to, hours","Entrega disponível para, horas"
"Set Interval for Delivery, days","Definir Intervalo para entrega, dias"
"Enable GeoIP for Zip/Postcode","Habilitar GeoIP para CEP/Código Postal"
"Enable GeoIP for City","Habilitar GeoIP para Cidade"
"Enable Ajax for Country","Habilitar Ajax para País"
"Enable Ajax for State/Region","Habilitar Ajax para Estado/Região"
"Enable Ajax for Zip/Postcode","Habilitar Ajax para CEP/Código Postal"
"Enable Ajax for City","Habilitar Ajax para CEP/Código Postal"
"Show Address Book","Mostrar Livro de Endereços"
"State/Region","Estado/Região"
"Enable EU VAT Option","Habilitar Opção de IVA da UE"
"Base EU Country","Base de dados de países da UE"
"B2C & B2B (Base EU Country)","B2C e B2B (Base País UE)"
"B2C & B2B (within EU, not Base EU Country)","B2C e B2B (dentro da UE, não Baseado em País UE)"
"VAT/Tax Rule","Regra IVA/Imposto"
"Show Buy without VAT checkbox","Mostrar Comprar sem a caixa de seleção IVA"
"Text under VAT/Tax field","O texto abaixo de IVA/Impostos"
"EU VAT/Tax Settings","Configurações de IVA da UE/Taxas"
"Without VAT if VAT Number is Verified","Sem IVA se Número de IVA é verificado"
"Without VAT","Sem IVA"
"With VAT","Com IVA"
"Yes, checked","Sim, marcado"
"Yes, unchecked","Sim, desmarcado"
"Delivery Date","Data de Entrega"
"GeoIP Settings","Configurações de GeoIP"
"Ajax Settings","Configurações Ajax"
"Yes, before Order Review","Sim, antes de Revisão do Pedido"
"Yes, after Order Review","Sim, depois de Revisão do Pedido"
"Selected Days","Selecionar Dias"
"All Days","Todos os Dias"
"Activation","Ativação"
"Select Websites","Selecionar Websites"
"GoMage LightCheckout","GoMage LightCheckout"
"Unchecked","Desmarcado"
"Checked","Marcado"
"Enable, unchecked","Habilitado, desmarcado"
"Enable, checked","Habilitado, marcado"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","Para usar GeoIP você precisa fazer o upload do arquivo GeoliteCity.dat para a pasta  /media/geoip. Leia mais em <a target=""_blank"" href=""%s""> Guia de Instalação </ a>"
"Select Date"," Selecionar Data"
"Buttons View"," Ver Botões"
"Please enter a valid VAT.","Por favor insira um IVA válido."
"None","Nenhum"
"Use Сtrl + left mouse button to select the days","Use Сtrl + botão esquerdo do mouse para selecionar os dias"
"Gift Wrapping","Embrulhar p/ Presente"
"Please enter a valid key","Ative o módulo"
"Select a Date","Selecionar uma Data"

